rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw,
98731,Tag 0,2.984,2.214,0.694,4.38,3.81,4.81,4.90,null,null,null,null,null,-0.091,-0.345,9.963,-31.65,28.2,-34.65,0,0,0,-1.975,0.606,49.301,-0.091,-0.345,9.963,0.002,-0.002,0.000,-31.650,28.200,-34.650,0.606,-1.975,49.301,
98843,Tag 0,2.980,2.158,0.624,4.39,3.80,4.22,4.86,null,null,null,null,null,-0.11,-0.388,9.771,-31.2,28.5,-34.65,0,0,0,-1.982,0.595,49.301,-0.110,-0.388,9.771,0.002,-0.005,-0.002,-31.200,28.500,-34.650,0.595,-1.982,49.301,
98955,Tag 0,2.989,2.444,0.926,4.40,3.85,4.95,4.93,null,null,null,null,null,-0.12,-0.412,9.848,-32.7,30.45,-34.65,0,0,0,-1.975,0.612,49.3,-0.120,-0.412,9.848,0.000,-0.000,0.004,-32.700,30.450,-34.650,0.612,-1.975,49.300,
99067,Tag 0,2.973,2.279,0.738,4.42,3.80,5.13,4.82,null,null,null,null,null,-0.053,-0.345,9.9,-31.5,29.85,-34.95,0,0,0,-1.989,0.606,49.301,-0.053,-0.345,9.900,0.000,-0.005,0.001,-31.500,29.850,-34.950,0.606,-1.989,49.301,
99179,Tag 0,2.987,2.121,0.593,4.38,3.80,4.18,4.82,null,null,null,null,null,-0.043,-0.392,9.829,-31.8,32.25,-36.3,0,0,0,-1.994,0.61,49.305,-0.043,-0.392,9.829,-0.001,-0.002,0.000,-31.800,32.250,-36.300,0.610,-1.994,49.305,
99291,Tag 0,2.974,2.352,0.838,4.37,3.78,4.73,4.83,null,null,null,null,null,-0.148,-0.354,9.944,-31.95,28.5,-35.4,0,0,0,-1.99,0.61,49.306,-0.148,-0.354,9.944,-0.002,0.004,0.001,-31.950,28.500,-35.400,0.610,-1.990,49.306,
99402,Tag 0,2.980,2.244,0.724,4.38,null,4.87,4.84,null,null,null,null,null,-0.196,-0.177,9.819,-33.9,29.25,-34.65,0,0,0,-1.972,0.617,49.309,-0.196,-0.177,9.819,0.000,0.003,-0.001,-33.900,29.250,-34.650,0.617,-1.972,49.309,
99514,Tag 0,2.860,2.062,0.366,4.39,3.81,4.79,4.90,null,null,null,null,null,-0.091,-0.191,9.862,-32.55,28.65,-35.25,0,0,0,-1.979,0.603,49.308,-0.091,-0.191,9.862,0.003,-0.000,0.001,-32.550,28.650,-35.250,0.603,-1.979,49.308,
99626,Tag 0,2.976,2.121,0.535,4.36,3.80,4.16,4.83,null,null,null,null,null,-0.187,-0.33,9.905,-33.9,29.25,-33.3,0,0,0,-1.977,0.614,49.307,-0.187,-0.330,9.905,0.002,0.002,-0.001,-33.900,29.250,-33.300,0.614,-1.977,49.307,
99738,Tag 0,2.966,2.411,0.920,4.35,3.79,4.41,4.84,null,null,null,null,null,0.014,-0.335,9.767,-32.25,29.1,-34.95,0,0,0,-1.983,0.605,49.307,0.014,-0.335,9.767,-0.004,0.004,-0.002,-32.250,29.100,-34.950,0.605,-1.983,49.307,
99850,Tag 0,2.961,2.299,0.784,4.41,3.79,4.83,4.86,null,null,null,null,null,-0.225,-0.44,9.805,-30.9,30.15,-35.4,0,0,0,-1.993,0.608,49.307,-0.225,-0.440,9.805,-0.002,0.005,-0.003,-30.900,30.150,-35.400,0.608,-1.993,49.307,
99962,Tag 0,2.974,2.201,0.664,4.35,3.81,4.48,4.95,null,null,null,null,null,-0.081,-0.316,9.924,-32.4,30.45,-36.15,0,0,0,-1.997,0.608,49.307,-0.081,-0.316,9.924,-0.001,-0.004,0.001,-32.400,30.450,-36.150,0.608,-1.997,49.307,
100074,Tag 0,2.957,2.337,0.811,4.39,3.81,5.10,4.89,null,null,null,null,null,-0.115,-0.359,10.006,-33.45,29.7,-35.4,0,0,0,-2.004,0.613,49.307,-0.115,-0.359,10.006,0.002,0.004,-0.001,-33.450,29.700,-35.400,0.613,-2.004,49.307,
100186,Tag 0,2.966,2.192,0.678,4.40,3.76,4.59,4.88,null,null,null,null,null,-0.254,-0.397,9.915,-33.75,28.65,-33.45,0,0,0,-1.999,0.604,49.306,-0.254,-0.397,9.915,0.002,-0.001,-0.002,-33.750,28.650,-33.450,0.604,-1.999,49.306,
100299,Tag 0,2.990,2.289,0.761,4.34,3.82,5.17,4.91,null,null,null,null,null,-0.215,-0.407,9.857,-32.55,30.3,-33.75,0,0,0,-1.981,0.607,49.303,-0.215,-0.407,9.857,-0.002,0.000,-0.002,-32.550,30.300,-33.750,0.607,-1.981,49.303,
100411,Tag 0,2.962,1.995,0.501,4.34,3.78,5.14,4.91,null,null,null,null,null,-0.11,-0.469,9.767,-32.4,30.15,-34.65,0,0,0,-1.952,0.61,49.3,-0.110,-0.469,9.767,0.001,-0.003,-0.004,-32.400,30.150,-34.650,0.610,-1.952,49.300,
100523,Tag 0,2.956,1.910,0.459,4.34,3.82,5.15,4.94,null,null,null,null,null,-0.254,-0.368,9.905,-33.15,31.2,-35.4,0,0,0,-1.954,0.616,49.297,-0.254,-0.368,9.905,-0.001,-0.003,0.001,-33.150,31.200,-35.400,0.616,-1.954,49.297,
100635,Tag 0,2.944,1.757,0.321,4.48,3.77,5.14,4.87,null,null,null,null,null,-0.124,-0.431,9.747,-32.4,29.25,-33.6,0,0,0,-1.955,0.61,49.297,-0.124,-0.431,9.747,0.000,0.004,-0.005,-32.400,29.250,-33.600,0.610,-1.955,49.297,
100747,Tag 0,2.997,1.801,0.332,4.43,3.79,5.14,4.85,null,null,null,null,null,-0.134,-0.321,9.891,-34.2,30.45,-33.3,0,0,0,-1.956,0.62,49.297,-0.134,-0.321,9.891,0.000,0.005,0.004,-34.200,30.450,-33.300,0.620,-1.956,49.297,
100859,Tag 0,2.982,1.778,0.324,4.39,3.82,5.15,4.85,null,null,null,null,null,-0.144,-0.301,9.79,-33,29.1,-35.25,0,0,0,-1.948,0.618,49.297,-0.144,-0.301,9.790,0.000,0.001,-0.004,-33.000,29.100,-35.250,0.618,-1.948,49.297,
100971,Tag 0,2.979,1.778,0.317,4.40,3.74,4.42,4.89,null,null,null,null,null,-0.129,-0.416,9.814,-32.25,28.35,-34.95,0,0,0,-1.949,0.613,49.298,-0.129,-0.416,9.814,-0.013,-0.004,0.001,-32.250,28.350,-34.950,0.613,-1.949,49.298,
101083,Tag 0,3.017,1.986,0.494,4.32,3.79,5.15,4.89,null,null,null,null,null,-0.077,-0.316,9.814,-32.25,29.85,-36.3,0,0,0,-1.963,0.595,49.298,-0.077,-0.316,9.814,0.001,0.005,0.001,-32.250,29.850,-36.300,0.595,-1.963,49.298,
101194,Tag 0,2.990,1.794,0.331,4.39,3.75,5.16,4.88,null,null,null,null,null,-0.191,-0.44,9.862,-33.3,29.85,-34.2,0,0,0,-1.991,0.596,49.298,-0.191,-0.440,9.862,-0.002,-0.001,0.001,-33.300,29.850,-34.200,0.596,-1.991,49.298,
